faceoffWinPctg,faceoffsLost,faceoffsWon,gameDate,gameId,gameLocationCode,gamesPlayed,goalsAgainst,goalsFor,losses,opponentTeamAbbrev,otLosses,penaltyKillPctg,points,ppGoalsAgainst,ppGoalsFor,ppOpportunities,ppPctg,shNumTimes,shootoutGamesLost,shootoutGamesWon,shotsAgainst,shotsFor,teamAbbrev,teamId,ties,wins
0.5454,35,42,2017-11-25T00:00:00Z,2017020341,H,1,1,2,0,DET,0,0.75,2,1,0,2,0.0,4,0,0,41,31,NYR,3,0,1
0.431,33,25,2018-02-16T00:30:00Z,2017020886,R,1,2,3,0,CHI,0,0.8,2,1,0,2,0.0,5,0,0,44,32,ANA,24,0,1
0.5223,32,35,2018-02-25T22:00:00Z,2017020962,R,1,5,5,0,ANA,0,0.6666,2,1,0,2,0.0,3,0,1,46,42,EDM,22,0,1
0.5714,30,40,2017-10-05T23:00:00Z,2017020011,H,1,4,5,0,ARI,0,0.5,2,2,0,4,0.0,4,0,0,30,41,ANA,24,0,1
0.4915,30,29,2018-02-11T20:00:00Z,2017020852,R,1,4,5,0,WSH,0,0.3333,2,2,0,3,0.0,3,0,0,27,29,DET,17,0,1
0.5945,30,44,2018-01-19T00:00:00Z,2017020702,H,1,2,2,0,ARI,0,1.0,2,0,0,3,0.0,2,0,1,29,39,NSH,18,0,1
0.5396,29,34,2017-10-11T23:00:00Z,2017020049,H,1,2,3,0,NYI,0,1.0,2,0,0,4,0.0,5,0,0,41,30,ANA,24,0,1
0.4745,31,28,2018-01-19T00:00:00Z,2017020699,H,1,1,1,0,DAL,0,1.0,2,0,0,2,0.0,4,0,1,36,26,CBJ,29,0,1
0.5925,22,32,2018-01-24T00:00:00Z,2017020736,H,1,0,3,0,OTT,0,1.0,2,0,0,3,0.0,4,0,0,25,41,STL,19,0,1
0.5238,30,33,2017-12-20T00:00:00Z,2017020525,H,1,3,4,0,TBL,0,0.5,2,2,4,5,0.8,4,0,0,38,36,VGK,54,0,1
0.4107,33,23,2018-02-17T18:00:00Z,2017020896,R,1,2,2,0,MIN,0,1.0,2,0,1,3,0.3333,3,0,1,38,31,ANA,24,0,1
0.4761,33,30,2017-11-17T00:30:00Z,2017020281,R,1,1,3,0,OTT,0,1.0,2,0,0,2,0.0,3,0,0,22,29,PIT,5,0,1
0.5849,22,31,2018-03-30T23:00:00Z,2017021202,R,1,1,4,0,WSH,0,1.0,2,0,0,1,0.0,2,0,0,21,30,CAR,12,0,1
0.4363,31,24,2018-03-03T22:00:00Z,2017021004,H,1,2,3,0,NYI,0,1.0,2,0,1,2,0.5,2,0,0,27,50,PIT,5,0,1
0.4642,30,26,2018-03-10T00:00:00Z,2017021047,R,1,2,5,0,VAN,0,1.0,2,0,0,2,0.0,1,0,0,32,36,MIN,30,0,1
0.4461,36,29,2017-10-07T23:00:00Z,2017020017,R,1,1,1,0,OTT,0,1.0,2,0,0,4,0.0,7,0,1,38,30,DET,17,0,1
0.4893,24,23,2017-12-09T00:00:00Z,2017020443,R,1,2,3,0,ANA,0,1.0,2,0,0,2,0.0,3,0,0,28,31,MIN,30,0,1
0.6507,22,41,2017-11-28T00:00:00Z,2017020362,R,1,2,3,0,NJD,0,1.0,2,0,0,3,0.0,2,0,0,25,38,FLA,13,0,1
0.3773,33,20,2018-03-08T00:30:00Z,2017021029,R,1,1,5,0,BUF,0,1.0,2,0,1,2,0.5,3,0,0,26,41,CGY,20,0,1
0.5,28,28,2018-03-23T23:00:00Z,2017021146,R,1,0,3,0,BUF,0,1.0,2,0,0,2,0.0,2,0,0,35,24,MTL,8,0,1
0.5671,29,38,2017-12-14T00:00:00Z,2017020478,R,1,1,7,0,VAN,0,0.75,2,1,1,4,0.25,4,0,0,26,48,NSH,18,0,1
0.3728,37,22,2018-02-16T00:00:00Z,2017020888,H,1,1,4,0,EDM,0,1.0,2,0,1,2,0.5,1,0,0,29,28,VGK,54,0,1
0.5892,23,33,2018-03-19T23:30:00Z,2017021118,R,1,0,2,0,MTL,0,1.0,2,0,0,2,0.0,5,0,0,28,40,FLA,13,0,1
0.5409,28,33,2018-03-06T00:00:00Z,2017021018,H,1,3,4,0,ARI,0,1.0,2,0,1,4,0.25,3,0,0,35,36,EDM,22,0,1
