assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerFirstName,playerHeight,playerLastName,playerName,playerPositionCode,playerShootsCatches,savePctg,saves,shotsAgainst,teamAbbrev,timeOnIce
0,2018-04-08T00:00:00Z,2017021269,1,1,0,2,1.8471,0,EDM,1,0,Anders,78,Nilsson,Anders Nilsson,G,L,0.9393,31,33,VAN,3898
0,2018-04-08T00:00:00Z,2017021269,1,1,0,2,1.8471,0,VAN,0,0,Cam,76,Talbot,Cam Talbot,G,L,0.9473,36,38,EDM,3898
0,2018-04-07T23:30:00Z,2017021270,1,1,0,2,2,0,LAK,0,0,Kari,76,Lehtonen,Kari Lehtonen,G,L,0.9444,34,36,DAL,3600
0,2018-04-07T23:30:00Z,2017021271,1,1,0,3,3,0,SJS,0,0,Devan,78,Dubnyk,Devan Dubnyk,G,L,0.9,27,30,MIN,3600
0,2018-04-07T23:00:00Z,2017021262,1,1,0,5,5,1,WSH,0,0,Cory,75,Schneider,Cory Schneider,G,L,0.8076,21,26,NJD,3600
0,2018-04-07T23:00:00Z,2017021259,1,1,0,2,2,0,MTL,0,0,Frederik,76,Andersen,Frederik Andersen,G,L,0.9393,31,33,TOR,3600
0,2018-04-07T23:00:00Z,2017021263,1,1,0,3,2.9597,0,CAR,1,0,Louis,75,Domingue,Louis Domingue,G,R,0.9285,39,42,TBL,3649
0,2018-04-07T23:00:00Z,2017021260,1,1,0,3,2.9079,0,DET,0,0,Thomas,73,Greiss,Thomas Greiss,G,L,0.923,36,39,NYI,3714
0,2018-04-07T23:00:00Z,2017021262,1,1,0,3,3,0,NJD,0,0,Braden,74,Holtby,Braden Holtby,G,L,0.8846,23,26,WSH,3600
0,2018-04-07T23:00:00Z,2017021260,1,1,0,4,3.8054,0,NYI,1,0,Jared,78,Coreau,Jared Coreau,G,L,0.9,36,40,DET,3784
0,2018-04-07T23:00:00Z,2017021263,1,1,0,2,1.9736,0,TBL,0,0,Cam,73,Ward,Cam Ward,G,L,0.9411,32,34,CAR,3648
0,2018-04-07T22:00:00Z,2017021264,1,1,0,4,4,1,WPG,0,0,Jeff,75,Glass,Jeff Glass,G,L,0.8974,35,39,CHI,3600
0,2018-04-07T22:00:00Z,2017021264,1,1,0,1,1,0,CHI,0,0,Connor,76,Hellebuyck,Connor Hellebuyck,G,L,0.9677,30,31,WPG,3600
0,2018-04-07T22:00:00Z,2017021267,1,1,0,0,0,0,ARI,0,0,Ryan,75,Miller,Ryan Miller,G,L,1,31,31,ANA,3600
0,2018-04-07T19:00:00Z,2017021257,1,1,0,5,5,1,PHI,0,0,Henrik,73,Lundqvist,Henrik Lundqvist,G,L,0.875,35,40,NYR,3600
0,2018-04-06T23:30:00Z,2017021255,1,1,0,1,1,0,CHI,0,0,Carter,73,Hutton,Carter Hutton,G,L,0.95,19,20,STL,3600
0,2018-04-06T23:30:00Z,2017021253,1,1,0,4,4,1,PIT,0,0,Craig,74,Anderson,Craig Anderson,G,L,0.826,19,23,OTT,3600
0,2018-04-06T23:30:00Z,2017021253,1,1,0,0,0,0,OTT,0,0,Casey,72,DeSmith,Casey DeSmith,G,L,1,35,35,PIT,3600
