assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,points,savePctg,saves,shotsAgainst,shutouts,teamAbbrev,ties,timeOnIce,wins
0,2018-04-08T00:00:00Z,2017021268,1,0,0,1,3.0,0,CGY,0,0,CAN,1993-12-21,ON,24,1,2012,Malcolm,74,8476876,0,1,Subban,Malcolm Subban,CAN,G,L,200,0,0.923,12,13,0,VGK,0,1200,0
0,2018-04-08T00:00:00Z,2017021268,1,1,0,6,9.0,1,CGY,0,0,CAN,1984-11-28,QC,1,1,2003,Marc-Andre,74,8470594,0,1,Fleury,Marc-Andre Fleury,CAN,G,L,180,0,0.6666,12,18,0,VGK,0,2400,0
0,2018-04-08T00:00:00Z,2017021268,1,1,0,1,1.0081,0,VGK,0,0,USA,1994-01-22,NH,75,3,2012,Jon,78,8476903,0,1,Gillies,Jon Gillies,USA,G,L,223,0,0.9629,26,27,0,CGY,0,3571,1
0,2018-04-08T00:00:00Z,2017021269,1,1,0,2,1.8471,0,EDM,1,0,SWE,1990-03-19,,62,3,2009,Anders,78,8475195,0,1,Nilsson,Anders Nilsson,SWE,G,L,229,0,0.9393,31,33,0,VAN,0,3898,0
0,2018-04-08T00:00:00Z,2017021269,1,1,0,2,1.8471,0,VAN,0,0,CAN,1987-07-05,ON,,,,Cam,76,8475660,0,1,Talbot,Cam Talbot,CAN,G,L,200,0,0.9473,36,38,0,EDM,0,3898,1
0,2018-04-07T23:30:00Z,2017021270,1,1,0,4,4.0967,1,DAL,0,0,USA,1986-01-21,CT,72,3,2005,Jonathan,73,8471734,0,1,Quick,Jonathan Quick,USA,G,L,218,0,0.7777,14,18,0,LAK,0,3515,0
0,2018-04-07T23:30:00Z,2017021271,1,1,0,5,7.5,1,MIN,0,0,CAN,1990-01-10,BC,,,,Martin,76,8474889,0,1,Jones,Martin Jones,CAN,G,L,195,0,0.7368,14,19,0,SJS,0,2400,0
0,2018-04-07T23:30:00Z,2017021270,1,1,0,2,2.0,0,LAK,0,0,FIN,1983-11-16,,2,1,2002,Kari,76,8470140,0,1,Lehtonen,Kari Lehtonen,FIN,G,L,209,0,0.9444,34,36,0,DAL,0,3600,1
0,2018-04-07T23:30:00Z,2017021271,1,1,0,3,3.0,0,SJS,0,0,CAN,1986-05-04,SK,14,1,2004,Devan,78,8471227,0,1,Dubnyk,Devan Dubnyk,CAN,G,L,218,0,0.9,27,30,0,MIN,0,3600,1
0,2018-04-07T23:30:00Z,2017021271,1,0,0,0,0.0,0,MIN,0,0,CAN,1989-05-04,AB,,,,Aaron,72,8477180,0,1,Dell,Aaron Dell,CAN,G,L,200,0,1.0,4,4,0,SJS,0,1022,0
